Source,Rôle,Titre,Entreprise,Localisation,Lien,Compétences
LinkedIn,data analyst,Data Analyst,Montrichard Group,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-montrichard-group-4161227093?position=18&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=hojvTJHVZq8s8htlqa0NVw%3D%3D,"r, git, excel"
LinkedIn,data analyst,Data Analyst - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-x-delivery-at-boston-consulting-group-bcg-4205214414?position=19&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=JRS9DXPZjtDDNentil%2BvSw%3D%3D,"python, c#, r, pandas, spark, hadoop, sql, mysql, postgresql, aws, git, tableau, excel, django"
LinkedIn,data analyst,Senior Data Analyst - GCP / Power Bi,Abberline,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/senior-data-analyst-gcp-power-bi-at-abberline-4267963104?position=20&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=%2B%2BBpJtaE7NLB1w6jwhECvg%3D%3D,"r, sql, google cloud, gcp, tableau, power bi, excel"
LinkedIn,data analyst,Data Analytics - Senior Data Analyst - Casablanca,Infomineo,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analytics-senior-data-analyst-casablanca-at-infomineo-4268565351?position=21&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=2NEXfxquL5fIOv7p5BNZcw%3D%3D,"python, java, javascript, r, javascript, spark, hadoop, sql, git, tableau, power bi, machine learning, excel"
LinkedIn,data analyst,Lead Data Analyst,CIH BANK,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/lead-data-analyst-at-cih-bank-4072058916?position=24&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=mbKzZdSbl%2B19UEJS%2BenAcg%3D%3D,"python, r, sql, git, tableau"
LinkedIn,data analyst,Data Analyst - Sénior,ALTEN,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-s%C3%A9nior-at-alten-4271585749?position=25&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=U%2FnSR74g0obshhOU%2FBDJ3w%3D%3D,"python, r, sql, nosql, mongodb, postgresql, git, ci/cd, agile, scrum, excel"
LinkedIn,data analyst,Data Analyst senior (expert GCP et Power BI) -H/F,LINCOLN,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-analyst-senior-expert-gcp-et-power-bi-h-f-at-lincoln-france-4232764476?position=26&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=DjYhEOZWs4KaVD1zgo%2B57g%3D%3D,"r, sql, google cloud, gcp, power bi, agile, scrum"
LinkedIn,data analyst,Product Data Analyst,Yassir,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/product-data-analyst-at-yassir-3785091502?position=27&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=8cRh8g9VJDTDvkyBRBmrhw%3D%3D,"python, r, sql, git"
LinkedIn,data analyst,Data Analyst senior (expert GCP et Power BI) - F/H,ALTEN,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-analyst-senior-expert-gcp-et-power-bi-f-h-at-alten-4257247964?position=28&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=RXddshTVoFy%2BVEEsewtAzQ%3D%3D,"r, sql, google cloud, gcp, power bi, agile, scrum, excel"
LinkedIn,data analyst,Expert Data analyst,BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/expert-data-analyst-at-brome-consulting-technology-4200182778?position=29&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=LijUP3fJyZIe7A%2FVMlcZXw%3D%3D,"r, matplotlib, seaborn, tableau, power bi"
LinkedIn,data analyst,Quantitative Risk Analyst / Data Analyst,CIH BANK,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/quantitative-risk-analyst-data-analyst-at-cih-bank-3980071335?position=36&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=HuRClrODuqH6u3gxrqN8sA%3D%3D,r
LinkedIn,data analyst,Senior Data Analyst - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/senior-data-analyst-x-delivery-at-boston-consulting-group-bcg-4268296315?position=49&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=TQ4cD2%2B2gQpmzxsIk3yOgQ%3D%3D,"python, c#, r, pandas, spark, hadoop, sql, mysql, postgresql, aws, git, tableau, excel, django"
LinkedIn,data analyst,Supply chain Master Data Analyst H/F,Valeo,"Tanger, Tanger-Tétouan-Al Hoceïma, Maroc",https://ma.linkedin.com/jobs/view/supply-chain-master-data-analyst-h-f-at-valeo-4278915261?position=53&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=aI1A23CLuAtr4%2FE4rnWGCw%3D%3D,r
LinkedIn,data analyst,Data Analyst senior (expert GCP et Power BI) -H/F,LINCOLN,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-analyst-senior-expert-gcp-et-power-bi-h-f-at-lincoln-france-4232764476?position=1&pageNum=2&refId=dgpGBjxRsQ0oRJ9NCJKZPg%3D%3D&trackingId=%2BCtDD%2F419RHsumlwl09KRA%3D%3D,"r, sql, google cloud, gcp, power bi, agile, scrum"
LinkedIn,data analyst,Product Data Analyst,Yassir,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/product-data-analyst-at-yassir-3785091502?position=2&pageNum=2&refId=dgpGBjxRsQ0oRJ9NCJKZPg%3D%3D&trackingId=86%2BNK9YN6tDZQZUjTOi4Eg%3D%3D,"python, r, sql, git"
LinkedIn,data analyst,Data Analyst senior (expert GCP et Power BI) - F/H,ALTEN,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-analyst-senior-expert-gcp-et-power-bi-f-h-at-alten-4257247964?position=3&pageNum=2&refId=dgpGBjxRsQ0oRJ9NCJKZPg%3D%3D&trackingId=OJZDLectcYC%2FsS3joxlX2w%3D%3D,"r, sql, google cloud, gcp, power bi, agile, scrum, excel"
LinkedIn,data analyst,Expert Data analyst,BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/expert-data-analyst-at-brome-consulting-technology-4200182778?position=4&pageNum=2&refId=dgpGBjxRsQ0oRJ9NCJKZPg%3D%3D&trackingId=pEfE6TBCS2lMXtAqTpcPaQ%3D%3D,"r, matplotlib, seaborn, tableau, power bi"
LinkedIn,data analyst,Supply chain Master Data Analyst H/F,Valeo,"Tanger, Tanger-Tétouan-Al Hoceïma, Maroc",https://ma.linkedin.com/jobs/view/supply-chain-master-data-analyst-h-f-at-valeo-4278915261?position=3&pageNum=5&refId=u6RzTE9iE6aecKT%2BzNtzyw%3D%3D&trackingId=dcV9oAYRxDjqdUMTLxn4RA%3D%3D,r
LinkedIn,data scientist,Data Scientists,Wafasalaf,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-scientists-at-wafasalaf-4268089653?position=1&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=lUBzxsgA%2FZdi3RCUZptrag%3D%3D,"r, machine learning, deep learning"
LinkedIn,data scientist,Data scientist,DXC Technology,Maroc,https://ma.linkedin.com/jobs/view/data-scientist-at-dxc-technology-4271725417?position=2&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=LQ2CW8zUPCgeZgkWn%2BUu9A%3D%3D,"python, r, tensorflow, pytorch, scikit-learn, matplotlib, spark, hadoop, sql, aws, azure, google cloud, git, tableau, power bi, machine learning"
LinkedIn,data scientist,Data scientist (H/F) - Rabat,Sofrecom Maroc,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/data-scientist-h-f-rabat-at-sofrecom-maroc-4275728715?position=5&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=Nh0zOB73DWrdkuyqXfGx2g%3D%3D,"python, r, tensorflow, scikit-learn, sql, nosql, tableau, power bi, machine learning"
LinkedIn,data scientist,Data Scientist (Scientist/Senior Scientist),ICARDA; International Center for Agricultural Research in the Dry Areas,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/data-scientist-scientist-senior-scientist-at-icarda-international-center-for-agricultural-research-in-the-dry-areas-4264582525?position=6&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=YNh%2B%2BUH9QYp%2FTWwPUdjwwg%3D%3D,"python, java, javascript, r, javascript, sql, nosql, postgresql, aws, azure, gcp, git, machine learning, excel"
LinkedIn,data scientist,Consultant Data Scientist H/F,Deloitte,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/consultant-data-scientist-h-f-at-deloitte-4263141150?position=7&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=ozOsiqVfAzVIHWV2OtK6gg%3D%3D,"python, r, tensorflow, pandas, sql, nosql, machine learning, deep learning, excel"
LinkedIn,data scientist,Data Scientist,Leyton,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-scientist-at-leyton-4267367471?position=8&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=ybZGj6kB7HkJSD80r3wPNw%3D%3D,"python, java, r, sql, machine learning, excel"
LinkedIn,data scientist,Data Analytics - Senior Data Scientist - Casablanca,Infomineo,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analytics-senior-data-scientist-casablanca-at-infomineo-4268568182?position=9&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=IDJ2bbVOZYeNeOxCM8CAGg%3D%3D,"python, java, javascript, r, javascript, spark, hadoop, sql, nosql, mongodb, aws, azure, google cloud, ibm cloud, docker, tableau, power bi, machine learning, excel"
LinkedIn,data scientist,Senior Data Scientist – Experienced Research Scientist,Deepecho,Maroc,https://ma.linkedin.com/jobs/view/senior-data-scientist-%E2%80%93-experienced-research-scientist-at-deepecho-4190447409?position=13&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=%2FhWVGKpmmn1Jr%2FSm2e0EOw%3D%3D,"python, r, pytorch, aws, azure, gcp, docker, git, ci/cd, linux, excel"
LinkedIn,data scientist,IA and Data Manager / Data scientist,Adria Business & Technology,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/ia-and-data-manager-data-scientist-at-adria-business-technology-4264430281?position=14&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=r64raWFjvxB6iM2545wNJw%3D%3D,"python, r, tensorflow, scikit-learn, git, machine learning, deep learning, computer vision"
LinkedIn,data scientist,Data Scientist & AI Engineer,ALTEN,"Fès, Fès-Meknès, Maroc",https://ma.linkedin.com/jobs/view/data-scientist-ai-engineer-at-alten-4262388085?position=18&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=bQva7wyaT06Tmimi27rLnw%3D%3D,"python, r, tensorflow, pytorch, scikit-learn, pandas, matplotlib, power bi, machine learning, deep learning, excel"
LinkedIn,data scientist,Responsable Marketing Data Scientist,Maroc Telecom,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/responsable-marketing-data-scientist-at-maroc-telecom-4265168206?position=19&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=HW6KdU%2BwOYyVsJCCHTVbTw%3D%3D,"python, r, sql, power bi, machine learning, excel"
LinkedIn,data scientist,AI Engineer / Data Scientist Expérimenté F/H,Deloitte,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/ai-engineer-data-scientist-exp%C3%A9riment%C3%A9-f-h-at-deloitte-4256176817?position=23&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=4Z%2BnS2er%2Fna7QjGntBQn1g%3D%3D,"python, java, c++, r, tensorflow, keras, pytorch, pandas, numpy, matplotlib, seaborn, aws, azure, gcp, docker, machine learning, deep learning, nlp, computer vision"
LinkedIn,data scientist,Stage - Data Scientist & BIM,Egis en Afrique,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/stage-data-scientist-bim-at-egis-in-africa-4264216192?position=24&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=JKxIXBTfM3vaIOOm%2BkwjWg%3D%3D,"python, r, git, tableau, nlp"
LinkedIn,data scientist,Expert Data scientist,BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/expert-data-scientist-at-brome-consulting-technology-4200186502?position=30&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=4qONJmODTNo7cP8ynZqmwA%3D%3D,r
LinkedIn,data scientist,Senior Data Scientist - Casablanca,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/senior-data-scientist-casablanca-at-artefact-3776222663?position=33&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=f5VXf0IYbcd0Y%2FWe3ZR9ng%3D%3D,"python, r, spark, git, machine learning, deep learning, agile, excel"
LinkedIn,data scientist,Senior Data Scientist - Casablanca,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/senior-data-scientist-casablanca-at-artefact-4109316157?position=38&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=DNIXB1TAWqmNQpSksPhFLA%3D%3D,"python, r, spark, git, machine learning, deep learning, agile, excel"
LinkedIn,data scientist,Lead Data Scientist,Leyton CognitX,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/lead-data-scientist-at-leyton-cognitx-4262102948?position=45&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=hRv2nPa2G2CuK9qelgPXLA%3D%3D,"python, java, r, sql, machine learning, excel"
LinkedIn,data scientist,Senior Data Scientist - Tech Lead,Oracle,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/senior-data-scientist-tech-lead-at-oracle-4181967787?position=50&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=p4eW14QMEZRO62YF6Tsvig%3D%3D,"python, java, c++, r, sql, oracle, machine learning, natural language processing, nlp, excel"
LinkedIn,data scientist,Quant Analyst / Quant Developer / Data Scientist: Graduate Programme 2025,Phi Partners,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/quant-analyst-quant-developer-data-scientist-graduate-programme-2025-at-phi-partners-4180620268?position=59&pageNum=0&refId=0vs9PbqIVeK59Y8oIN0pxw%3D%3D&trackingId=ViAPFUAw%2Bf%2FfiuQxaitgpw%3D%3D,"python, java, c++, c#, r, sql, excel"
LinkedIn,data scientist,Expert Data scientist,BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/expert-data-scientist-at-brome-consulting-technology-4200186502?position=5&pageNum=2&refId=AmJVZSx0dVuuAjsliixutA%3D%3D&trackingId=N7NgjQfUXJgyv4q3I6e1Vw%3D%3D,r
LinkedIn,data scientist,Senior Data Scientist - Casablanca,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/senior-data-scientist-casablanca-at-artefact-3776222663?position=8&pageNum=2&refId=AmJVZSx0dVuuAjsliixutA%3D%3D&trackingId=ipVatVsq8Om4doF50NNcGg%3D%3D,"python, r, spark, git, machine learning, deep learning, agile, excel"
LinkedIn,data scientist,Quant Analyst / Quant Developer / Data Scientist: Graduate Programme 2025,Phi Partners,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/quant-analyst-quant-developer-data-scientist-graduate-programme-2025-at-phi-partners-4180620268?position=9&pageNum=5&refId=38vEUb66aGHcKmlhGT7H6g%3D%3D&trackingId=eD78E%2Fk6JTfrodc3SqlqTw%3D%3D,"python, java, c++, c#, r, sql, excel"
LinkedIn,data engineer,Junior Data Engineer - Casablanca,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/junior-data-engineer-casablanca-at-artefact-3928980947?position=1&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=JB%2FV7Xbqdb9%2Fa3jxoiL7Hw%3D%3D,"python, r, spark, sql, mysql, postgresql, aws, azure, google cloud, gcp, docker, git, ci/cd, airflow, machine learning, rest api, microservices, agile"
LinkedIn,data engineer,Data Engineer,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-at-artefact-3761574281?position=2&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=bUmX0FdQ3IiiHX45ephjkA%3D%3D,"python, r, spark, sql, mysql, postgresql, aws, azure, google cloud, gcp, docker, git, ci/cd, airflow, machine learning, rest api, microservices, agile"
LinkedIn,data engineer,DATA ENGINEER (H/F),Groupe INTM,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-engineer-h-f-at-groupe-intm-4265986589?position=3&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=r%2Be4FcK1wc34E57KNkuTcQ%3D%3D,"python, r, spark, sql, gcp, docker"
LinkedIn,data engineer,Data Engineer,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-at-artefact-3557745792?position=4&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=OkMezEK8uUZK8Psb00VnXA%3D%3D,"python, r, spark, sql, aws, gcp, docker, git, ci/cd, airflow, machine learning, microservices, agile"
LinkedIn,data engineer,Data engineer,SII Group Morocco,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-engineer-at-sii-group-morocco-4263087149?position=5&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=UsSLJTu%2BFx2DrFLo69r%2BRg%3D%3D,"r, spark, airflow, power bi"
LinkedIn,data engineer,Data engineer,Alter Solutions Group,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-at-alter-solutions-group-4242852623?position=6&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=z2%2Bq92fMgqQARhODKhlo5Q%3D%3D,"python, java, r, spark, sql, nosql, aws, azure, gcp, docker, git, ci/cd, airflow, tableau, power bi, excel"
LinkedIn,data engineer,Big Data Engineer,Leyton,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/big-data-engineer-at-leyton-4267365420?position=8&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=DfllcR9owKyZIwBOaPK%2FvQ%3D%3D,"python, r, pandas, spark, hadoop, sql, mongodb, docker, ci/cd, airflow, excel, django"
LinkedIn,data engineer,Data Engineer,Altados by Niji,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-engineer-at-altados-by-niji-4264375565?position=10&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=MJkz1PcMIBq15zOooT1gMw%3D%3D,"python, r, sql, azure"
LinkedIn,data engineer,Data Engineer (H/F),Smile,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-h-f-at-smile-4275097062?position=13&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=SlhZhB%2F4TwUl%2BIopvW2FFQ%3D%3D,"python, r, sql, git, airflow, agile"
LinkedIn,data engineer,Manager Data Engineer,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/manager-data-engineer-at-artefact-3928980952?position=16&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=pKyxsQJojXpzADOrumVmyA%3D%3D,"python, r, spark, sql, mysql, postgresql, aws, azure, google cloud, gcp, docker, git, ci/cd, airflow, machine learning, rest api, microservices, agile"
LinkedIn,data engineer,Data Engineer Confirmé – Écosystème Microsoft Fabric,MAROC FER,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-confirm%C3%A9-%E2%80%93-%C3%A9cosyst%C3%A8me-microsoft-fabric-at-maroc-fer-4267073871?position=20&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=Pe9N%2BAyxbUE9qYROeUGqGA%3D%3D,"python, r, spark, sql, git, power bi"
LinkedIn,data engineer,Data Engineer - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-x-delivery-at-boston-consulting-group-bcg-4205212741?position=21&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=QkMkxI86%2BUKBfyqDvs4gnA%3D%3D,"python, java, r, spark, hadoop, sql, nosql, mongodb, mysql, postgresql, aws, azure, google cloud, docker, git, ci/cd, airflow, excel, django"
LinkedIn,data engineer,Data Engineer Senior (Microsoft Fabric),MAROC FER,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-senior-microsoft-fabric-at-maroc-fer-4267077671?position=22&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=olJoqxu61DqfGyTObwSypg%3D%3D,"python, r, spark, sql, azure, git, ci/cd, power bi"
LinkedIn,data engineer,Data Engineer Spark/Scala Senior (Maroc ) H/F,LINCOLN,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-engineer-spark-scala-senior-maroc-h-f-at-lincoln-france-4128099064?position=23&pageNum=0&refId=03F8fNjtYUPZszy1U3wyuA%3D%3D&trackingId=3SAA8xJDYfslSerdzQybZQ%3D%3D,"java, r, spark, gcp, git, ci/cd, microservices, scrum"
